"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"jamui","bihar","Mahna","238.0","258579.0",1564,816,748,899,539,360,608,376,232,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Ganesh Nawada","238.0","258722.0",502,270,232,308,177,131,167,135,32,"7","2","2","2","1","9.0","2.0","2.0","2.0","3.0"
"jamui","bihar","Mahgain","238.0","258724.0",812,433,379,423,248,175,407,249,158,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Chhitma","238.0","258725.0",208,109,99,44,40,4,97,52,45,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Achari","238.0","258726.0",872,455,417,432,261,171,389,242,147,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Arsar","238.0","258728.0",7635,3955,3680,4329,2485,1844,1956,1694,262,"8","2","2","2","2","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Ikaria","238.0","258730.0",1243,654,589,712,459,253,362,267,95,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Padmawat","238.0","258731.0",2568,1322,1246,1225,855,370,897,662,235,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Amin","238.0","258732.0",2422,1319,1103,1510,887,623,786,631,155,"6","2","1","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Chordiha","238.0","258733.0",2173,1154,1019,1005,671,334,752,586,166,"7","2","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Dundu","238.0","258734.0",1851,939,912,1101,635,466,458,405,53,"6","1","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Narbada","238.0","258735.0",946,521,425,373,255,118,406,241,165,"6","1","2","2","1","7.0","2.0","2.0","2.0","1.0"
"jamui","bihar","Pira","238.0","258736.0",912,447,465,366,224,142,450,241,209,"5","1","1","2","1","7.0","2.0","2.0","2.0","1.0"
