"district","state","location_name","dist_code_2011","vill_code_2011","tot_p","tot_m","tot_f","p_lit","m_lit","f_lit","tot_work_p","tot_work_m","tot_work_f","adi_2011","msw_2011","asset_2011","fc_2011","bf_2011","adi_2019","msw_2019","asset_2019","fc_2019","bf_2019"
"ranchi","jharkhand","Sarle","364.0","373367.0",2011,1007,1004,1006,609,397,619,457,162,"5","1","1","1","2","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Saram","364.0","373401.0",1306,682,624,665,409,256,624,316,308,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Usku","364.0","373402.0",975,495,480,365,212,153,488,246,242,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Patkai","364.0","373403.0",648,316,332,370,205,165,302,159,143,"5","1","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Kaskoma","364.0","373404.0",154,81,73,66,39,27,63,33,30,"5","2","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Murgi","364.0","373405.0",1142,582,560,595,348,247,553,271,282,"6","2","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Chanya","364.0","373406.0",533,266,267,236,132,104,172,90,82,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Piraguttu","364.0","373407.0",518,270,248,248,147,101,247,126,121,"4","1","1","1","1","7.0","3.0","2.0","1.0","1.0"
"ranchi","jharkhand","Bangaon","364.0","373408.0",679,336,343,356,201,155,401,196,205,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Hatnai","364.0","373409.0",213,109,104,103,64,39,137,67,70,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Murwe","364.0","373410.0",645,319,326,318,177,141,235,167,68,"4","1","1","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Kotari","364.0","373411.0",843,432,411,450,255,195,310,193,117,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Burmu","364.0","373412.0",3661,1867,1794,1888,1114,774,1794,1010,784,"6","2","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Ara","364.0","373413.0",278,127,151,189,97,92,117,58,59,"6","2","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Chakme","364.0","373414.0",3023,1540,1483,1880,1065,815,1214,721,493,"5","1","2","1","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Rol","364.0","373415.0",1004,521,483,552,337,215,571,303,268,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Matwe","364.0","373416.0",1854,938,916,1079,639,440,481,464,17,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Gutru","364.0","373417.0",551,273,278,352,200,152,277,131,146,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Geswe","364.0","373418.0",1785,898,887,957,567,390,762,445,317,"7","1","2","3","1","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Surid","364.0","373419.0",465,223,242,278,156,122,221,113,108,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Katangdiri","364.0","373420.0",989,498,491,646,369,277,458,271,187,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Hesalpiri","364.0","373421.0",1760,906,854,888,548,340,805,437,368,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Korabar","364.0","373422.0",873,429,444,510,296,214,476,236,240,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Turmuli","364.0","373423.0",652,311,341,367,207,160,229,159,70,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Manatu","364.0","373424.0",985,499,486,512,292,220,471,256,215,"5","1","2","1","1","7.0","1.0","2.0","1.0","3.0"
"ranchi","jharkhand","Bare","364.0","373425.0",1525,770,755,868,509,359,793,436,357,"4","1","1","1","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Sidraul","364.0","373426.0",1706,791,915,1155,560,595,717,364,353,"5","2","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Nauj","364.0","373427.0",1325,653,672,753,396,357,588,348,240,"7","1","2","1","3","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Kulwe","364.0","373428.0",348,183,165,198,119,79,107,92,15,"5","1","2","1","1","10.0","1.0","3.0","3.0","3.0"
"ranchi","jharkhand","Berwari","364.0","373429.0",638,322,316,398,246,152,358,187,171,"6","2","2","1","1","4.0","1.0","1.0","1.0","1.0"
"ranchi","jharkhand","Soba","364.0","373430.0",854,414,440,518,293,225,454,254,200,"7","2","1","1","3","6.0","1.0","3.0","1.0","1.0"
"ranchi","jharkhand","Ginjothakurgaon","364.0","373431.0",5862,3081,2781,3741,2220,1521,2136,1545,591,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Dandiya","364.0","373432.0",1550,797,753,814,462,352,710,447,263,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Gurgain","364.0","373433.0",3008,1512,1496,1656,947,709,1342,786,556,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Arra (Arara)","364.0","373434.0",422,209,213,217,126,91,209,109,100,"5","1","2","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Murumgara","364.0","373435.0",1178,578,600,615,362,253,516,297,219,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Ithe","364.0","373436.0",951,496,455,504,296,208,401,246,155,"8","2","2","3","1","5.0","1.0","2.0","1.0","1.0"
"ranchi","jharkhand","Hisri","364.0","373438.0",1596,799,797,932,530,402,1077,544,533,"4","1","1","1","1","5.0","1.0","2.0","1.0","1.0"
